Date,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Adj Close,NVDA_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,NVDA_Close_7d_ago
2020-12-31,131.36500549316406,131.50999450683594,129.14999389648438,130.5500030517578,130.2921142578125,19242400.0,3587709.4934212654,19242400.0,,,,,-6008362.572560819,,,1000.0,,,,,,0.0,0.0,,132.7633310953776,128.04332987467447,,0.5310746883048328,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,130.32999420166016,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-31.41139733788284,,0.0,,,,,,,,
2021-01-01,131.36500549316406,131.50999450683594,129.14999389648438,130.5500030517578,130.2921142578125,19242400.0,7175418.986842531,38484800.0,,,0.0,,-6044306.721344769,,,1000.0,,,,,,0.0,0.0,,132.7633310953776,128.04332987467447,,0.5310746883048328,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,130.32999420166016,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-02,131.36500549316406,131.50999450683594,129.14999389648438,130.5500030517578,130.2921142578125,19242400.0,10763128.480263796,57727200.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,132.7633310953776,128.04332987467447,,0.5310746883048328,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,130.32999420166016,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,131.50999450683594,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-03,131.36500549316406,131.50999450683594,129.14999389648438,130.5500030517578,130.2921142578125,19242400.0,14350837.973685062,76969600.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,132.7633310953776,128.04332987467447,,0.5310746883048328,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,130.32999420166016,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,129.14999389648438,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-04,131.04249572753906,136.52499389648438,129.625,131.13499450683594,130.87591552734375,56064000.0,-17175073.065284587,133033600.0,,,33.78371539178236,,251221.44902974323,,,1000.0,,,,,,0.0,0.0,,134.07632954915363,127.54033101399739,,0.5499792378323447,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,132.83749389648438,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,129.14999389648438,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.4480976188458552,0.4470966505619067,0.4480976188458552,,,,,,,,
2021-01-05,130.99749755859375,134.43499755859375,130.8699951171875,134.04750061035156,133.78269958496094,32276000.0,8084465.25928868,165309600.0,,,-4.666674022180416,,968070.8861353358,,,1022.2099837992811,,,,,,0.0,0.0,,134.51069132486978,127.87569173177083,,0.9301897900641949,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,132.83749389648438,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,129.14999389648438,,0.0,0.0,,,,,,,,,,,,,,,,,,,2.2209983799281074,2.196693427683716,2.6790482396290116,,,,,,,,
2021-01-06,132.22500610351562,132.4499969482422,125.86000061035156,126.1449966430664,125.89579772949219,58042400.0,-44937642.50347985,107267200.0,,,-39.70975718253245,,-2704924.8905190676,,,1022.2099837992811,,,,,,0.0,0.0,,134.54368700299943,126.97368839808873,,-0.10947052942450235,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,131.19249725341797,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,136.52499389648438,0.0,1.0,,,,,,,,,,,,,,,,,,,-5.895301241204121,-6.076220696863199,-3.3741909656984093,,,,,,,,
2021-01-07,129.6750030517578,133.77749633789062,128.86500549316406,133.44000244140625,133.17637634277344,46148000.0,-5130486.212809086,153415200.0,,,23.05992412802621,,-753020.6192682758,,,1081.3247165067278,,,,,,0.0,0.0,,134.84322516123453,126.99135367075601,,0.8212881194591786,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,131.19249725341797,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,136.3116940307617,0.0,0.0,,,,,,,,,,,,,,,,,,,5.783032218853212,5.621994457122348,2.2137107024828406,,,,,,,3587709.4934212654,130.2921142578125
2021-01-08,133.625,134.2100067138672,130.4199981689453,132.7675018310547,132.50521850585938,29252800.0,1854655.8989381427,124162400.0,,,12.875098365319582,,2521327.7079474707,,,1075.875139779102,,,,,,0.0,0.0,,135.00018282289858,127.17851737693503,,0.7145517144310881,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,131.19249725341797,,,131.19249725341797,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,136.10266016235352,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.5039722707190886,-0.5052464939245382,1.6985819436692973,,,,,,,7175418.986842531,130.2921142578125
2021-01-09,133.625,134.2100067138672,130.4199981689453,132.7675018310547,132.50521850585938,29252800.0,8839798.010685371,153415200.0,,,0.0,,-147426.0004089136,,,1075.875139779102,,,,,,0.0,0.0,131.22699864705402,135.1257489522298,127.32824834187825,5.9419941709735955,0.6975637144491624,0.0,0.0,,,,,,4.330501556396484,,,,,,,,,,,,,,,,,,131.19249725341797,,,131.19249725341797,,0.0,0.0,0.0,,191.8417117396145,190.03101322226328,,,,,135.89780697131349,0.0,0.0,,,,,,,,,,,,,,,,,,132.7675018310547,0.0,0.0,1.6985819436692973,,,,,,,10763128.480263796,130.2921142578125
