Date,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Adj Close,GOOG_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,GOOG_Close_7d_ago
2020-12-31,86.77100372314453,87.94650268554688,86.77100372314453,87.59400177001953,87.59400177001953,20238000.0,8100322.712964465,20238000.0,,,,,-5499668.110434279,,,1000.0,,,,,,0.0,0.0,,88.61266835530598,86.2616704305013,,0.5667088539131395,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,87.3587532043457,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-27.13996381575372,,0.0,,,,,,,,
2021-01-01,86.77100372314453,87.94650268554688,86.77100372314453,87.59400177001953,87.59400177001953,20238000.0,16200645.42592893,40476000.0,,,0.0,,-5492585.877032239,,,1000.0,,,,,,0.0,0.0,,88.61266835530598,86.2616704305013,,0.5667088539131395,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,87.3587532043457,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-02,86.77100372314453,87.94650268554688,86.77100372314453,87.59400177001953,87.59400177001953,20238000.0,24300968.138893396,60714000.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,88.61266835530598,86.2616704305013,,0.5667088539131395,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,87.3587532043457,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,,87.94650268554688,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-03,86.77100372314453,87.94650268554688,86.77100372314453,87.59400177001953,87.59400177001953,20238000.0,32401290.85185786,80952000.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,88.61266835530598,86.2616704305013,,0.5667088539131395,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,87.3587532043457,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,86.77100372314453,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-04,87.87699890136719,88.03250122070312,85.39250183105469,86.41200256347656,86.41200256347656,38038000.0,23741910.41663548,42914000.0,,,-4.485262202827756,,-513287.2675063698,,,1000.0,,,,,,0.0,0.0,,88.7406016031901,85.80380350748698,,0.20709597192924248,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,86.7125015258789,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,,87.94650268554688,0.0,1.0,,,,,,,,,,,,,,,,,,,-1.3494065605614614,-1.358593793250762,-1.3494065605614614,,,,,,,,
2021-01-05,86.25,87.38349914550781,85.90074920654297,87.0459976196289,87.0459976196289,22906000.0,36220245.240430035,65820000.0,,,-0.4555662760840293,,-345228.54504408455,,,1007.3368865128039,,,,,,0.0,0.0,,88.66041776869031,85.71883604261609,,0.45117277050263094,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,86.7125015258789,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,,87.94650268554688,0.0,0.0,,,,,,,,,,,,,,,,,,,0.7336886512803842,0.7310102488729875,-0.625618352075552,,,,,,,,
2021-01-06,85.13150024414062,87.4000015258789,84.94999694824219,86.7645034790039,86.7645034790039,52042000.0,61264263.55717076,13778000.0,,,-2.199105028231313,,-237.5630306020321,,,1007.3368865128039,,,,,,0.0,0.0,,88.68343026297433,85.46207318987165,,0.40431105884136354,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,86.49124908447266,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,,88.03250122070312,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.3233855068846103,-0.32390952785856797,-0.9469806998811392,,,,,,,,
2021-01-07,87.00299835205078,89.41999816894531,86.85250091552734,89.36250305175781,89.36250305175781,45300000.0,104535417.13474403,59078000.0,,,11.115904573518701,,1188126.8590737332,,,1037.4996915291756,,,,,,0.0,0.0,,88.98706372578938,85.52650197347005,,1.108490861553562,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,87.18499755859375,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,84.94999694824219,,1.0,0.0,,,,,,,,,,,,,,,,,,,2.9943115774097473,2.950357331266673,2.018975324796246,,,,,,,8100322.712964465,87.59400177001953
2021-01-08,89.39900207519531,90.49199676513672,88.67675018310547,90.3604965209961,90.3604965209961,41012000.0,139605427.69255984,100090000.0,,,6.4095923576306335,,1814441.964123346,,,1049.086407222257,,,,,,0.0,0.0,,89.28387083830657,85.80442781801577,,1.3094247201092384,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,87.72099685668945,,,87.72099685668945,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,84.94999694824219,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.1167922060780322,1.1106021261693577,3.158315289944258,,,,,,,16200645.42592893,87.59400177001953
2021-01-09,89.39900207519531,90.49199676513672,88.67675018310547,90.3604965209961,90.3604965209961,41012000.0,174675438.25037566,141102000.0,,,0.0,,458018.8195567255,,,1049.086407222257,,,,,,0.0,0.0,87.77404251098633,89.52131652832031,86.02676849365234,3.9813000913459953,1.240139778978747,1.0,0.0,,,,,,1.7560737609863282,,,,,,,,,,,,,,,,,,87.72099685668945,,,87.72099685668945,,0.0,0.0,0.0,,121.0666950171721,119.62512984602418,,,,85.17167694091796,,0.0,0.0,,,,,,,,,,,,,,,,,,90.3604965209961,0.0,0.0,3.158315289944258,,,,,,,24300968.138893396,87.59400177001953
