Date,AMD_Open,AMD_High,AMD_Low,AMD_Close,AMD_Adj Close,AMD_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,AMD_Close_7d_ago
2020-12-31,92.0999984741211,92.30000305175781,90.87000274658203,91.70999908447266,91.70999908447266,24930700.0,4358380.044602605,24930700.0,,,,,-1107647.2839952854,,,1000.0,,,,,,0.0,0.0,,93.05666859944661,90.19666798909505,,0.5291366337126705,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,91.58500289916992,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-4.548021778152178,,0.0,,,,,,,,
2021-01-01,92.0999984741211,92.30000305175781,90.87000274658203,91.70999908447266,91.70999908447266,24930700.0,8716760.08920521,49861400.0,,,0.0,,-1133853.6654457862,,,1000.0,,,,,,0.0,0.0,,93.05666859944661,90.19666798909505,,0.5291366337126705,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,91.58500289916992,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-02,92.0999984741211,92.30000305175781,90.87000274658203,91.70999908447266,91.70999908447266,24930700.0,13075140.133807814,74792100.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,93.05666859944661,90.19666798909505,,0.5291366337126705,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,91.58500289916992,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,,92.30000305175781,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-03,92.0999984741211,92.30000305175781,90.87000274658203,91.70999908447266,91.70999908447266,24930700.0,17433520.17841042,99722800.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,93.05666859944661,90.19666798909505,,0.5291366337126705,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,91.58500289916992,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,90.87000274658203,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-04,92.11000061035156,96.05999755859375,90.91999816894531,92.30000305175781,92.30000305175781,51802600.0,-6552795.996204771,151525400.0,,,18.901894799344703,,333265.07273797103,,,1000.0,,,,,,0.0,0.0,,94.09200134277344,89.74800109863281,,0.5874773963392951,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,93.46500015258789,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,90.87000274658203,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.6433365752644971,0.6412759984269378,0.6433365752644971,,,,,,,,
2021-01-05,92.0999984741211,93.20999908447266,91.41000366210938,92.7699966430664,92.7699966430664,34208000.0,10931157.56609575,185733400.0,,,-6.2090396435514075,,507452.9409926318,,,1005.0920214059478,,,,,,0.0,0.0,,94.12055587768555,89.90055720011394,,0.6799621663871427,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,93.46500015258789,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,90.87000274658203,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5092021405947778,0.5079100907357414,1.1558145994717606,,,,,,,,
2021-01-06,91.62000274658203,92.27999877929688,89.45999908447266,90.33000183105469,90.33000183105469,51911700.0,-8949814.442951307,133821700.0,,,-7.822526415647639,,-1191170.36464526,,,1005.0920214059478,,,,,,0.0,0.0,,94.03333355131602,89.610477629162,,0.1626831654833242,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,92.7599983215332,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,,96.05999755859375,0.0,1.0,,,,,,,,,,,,,,,,,,,-2.630155115128041,-2.6653624047150437,-1.5047402324656844,,,,,,,,
2021-01-07,91.33000183105469,95.51000213623047,91.19999694824219,95.16000366210938,95.16000366210938,42897200.0,26980361.672293127,176718900.0,,,24.96751658096398,,928381.9458574734,,,1058.8349219413512,,,,,,0.0,0.0,,94.56250095367432,89.61500072479248,,1.1207686065271993,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,92.7599983215332,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,,95.92799758911133,0.0,0.0,,,,,,,,,,,,,,,,,,,5.347062695834204,5.2090072485983185,3.7618630597291425,,,,,,,4358380.044602605,91.70999908447266
2021-01-08,95.9800033569336,96.4000015258789,93.2699966430664,94.58000183105469,94.58000183105469,39816400.0,20492785.440866895,136902500.0,,,11.63441645593266,,2051058.5476384452,,,1052.3813051919105,,,,,,0.0,0.0,,94.93111250135634,89.83777787950304,,0.9310646764115622,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,92.93000030517578,,,92.93000030517578,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,89.45999908447266,,1.0,0.0,,,,,,,,,,,,,,,,,,,-0.6095016905570239,-0.6113667342880547,3.129432750226635,,,,,,,8716760.08920521,91.70999908447266
2021-01-09,95.9800033569336,96.4000015258789,93.2699966430664,94.58000183105469,94.58000183105469,39816400.0,14005209.209440663,176718900.0,,,0.0,,-242681.63111894895,,,1052.3813051919105,,,,,,0.0,0.0,92.62100067138672,95.22600173950195,90.01599960327148,5.625076492873598,0.8760077459556173,0.0,0.0,,,,,,2.7410003662109377,,,,,,,,,,,,,,,,,,92.93000030517578,,,92.93000030517578,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,89.59879913330079,,0.0,0.0,,,,,,,,,,,,,,,,,,94.58000183105469,0.0,0.0,3.129432750226635,,,,,,,13075140.133807814,91.70999908447266
2021-01-10,95.9800033569336,96.4000015258789,93.2699966430664,94.58000183105469,94.58000183105469,39816400.0,7517632.978014433,216535300.0,,,0.0,,0.0,,,1052.3813051919105,,,,,,0.0,0.0,92.93333384195964,95.70833536783854,90.15833231608073,5.972026206652636,0.7966967718285332,0.0,0.0,,,,,,2.779900817871094,,,,,,,,,,,,,,,,,,92.93000030517578,,,92.93000030517578,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,89.73482318115235,,0.0,0.0,,,,,,,,,,,,,,,,,,94.58000183105469,0.0,0.0,3.129432750226635,,,,,,,17433520.17841042,91.70999908447266
2021-01-11,94.02999877929688,99.2300033569336,93.76000213623047,97.25,97.25,48600200.0,20933724.13963482,265135500.0,,,18.683507594845164,,1371986.0699745659,,,1052.3813051919105,,,,,,0.0,0.0,93.4453338623047,96.62433547973633,90.26633224487304,6.803981506697866,1.0984058197443056,1.0,0.0,,,,,,3.048910858154297,,,,,93.19916725158691,,93.78758121505409,,,,,,,,,,,94.34500122070312,,,94.34500122070312,,0.0,0.0,0.0,,96.8708297945929,98.08906162209706,,,,89.86812674804688,,0.0,0.0,,,,,,,,,,,,,,,,,,94.91193860181964,2.8230049875814567,2.7838925922975655,6.0407817804299935,126399.30266631722,,,,,,-6552795.996204771,92.30000305175781
