Date,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Adj Close,BTC-USD_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,BTC-USD_Close_7d_ago
2021-01-10,40254.21875,41420.19140625,35984.62890625,38356.44140625,38356.44140625,79980747690,287232116117.08923,326593955407,,,-10236.289932378866,,-4596377641.775591,,,1062.5157464989456,,,,,,0.0,0.0,35121.921484375,38762.4279296875,31481.4150390625,20.730679253594285,0.944240378428632,0.0,0.0,,,,,,3424.6710546874992,,,,,,,,,,,,,,,,,,35334.7470703125,,,35074.365234375,,0.0,0.0,0.0,,37967.447462735705,38303.08886184379,,,,30805.368750987498,,0.0,0.0,,,,,,,,,,,,,,,,,,39920.12872016567,-4.715257321474942,-4.83004859568652,32.25574371563755,,,,,,,42319039098.27197,32782.0234375
2021-01-11,38346.53125,38346.53125,30549.599609375,35566.65625,35566.65625,123320567399,322616613764.72864,203273388008,,,-26898.055781188574,,-12740792513.17712,,,1062.5157464989456,,,,,,0.0,0.0,35678.06888020834,40018.56438802084,31337.573372395836,24.331448668850456,0.4871659088221835,0.0,0.0,,,,,,3862.8881289062497,,,,,35035.013997395836,,35602.44909093951,,,,,,,,,,,35334.7470703125,,,35074.365234375,,0.0,0.0,0.0,,37967.447462735705,38303.08886184379,,,,,41946.73828125,0.0,1.0,,,,,,,,,,,,,,,,,,39606.1376372919,-7.273315912449108,-7.551390060372576,22.636365662840173,1012822384.057669,,,,,,72958445015.79384,31971.9140625
2021-01-12,35516.359375,36568.52734375,32697.9765625,33922.9609375,33922.9609375,74773277909,295173084143.6333,128500110099,,,958.5962565935785,,-12425104266.252552,,,1013.4121102250759,,,,,,0.0,0.0,35971.93216145834,40293.089192708336,31650.775130208338,24.025159459629176,0.262914051822178,0.0,0.0,,,,,,3863.654394140625,,,,,35445.117350260414,,35344.06629810266,,,,,,,,,,,35334.7470703125,,,35074.365234375,,0.0,0.0,0.0,,37967.447462735705,38303.08886184379,,,,,41718.7955078125,0.0,0.0,,,,,,,,,,,16.968787075605228,,,,,,,39513.7381343351,-4.621450217153877,-4.73164778588302,16.968787075605228,889895146.5588392,,,,,,126242720305.47173,33992.4296875
2021-01-13,33915.12109375,37599.9609375,32584.66796875,37316.359375,37316.359375,69364315979,356692662630.34235,197864426078,,9297579071328.668,3319.1892631995775,,3483075812.084787,35049.33954092854,64.40516075454752,1114.7862525859753,,,,,,0.0,0.0,36240.53515625,40807.597265625,31673.473046875,25.20416483743547,0.6177807738306876,0.0,0.0,,,,,,3978.818251601562,6.351791214724867,,,,36106.967936197914,,35647.49600224071,,,,,,,,,,,36083.962890625,,,35074.365234375,,0.0,0.0,0.0,,37967.447462735705,38303.08886184379,,,,,41495.41158984375,0.0,0.0,62.600937903941244,,,,,,66.31164464831022,,-33.68835535168978,,27.038080753128114,,,,,,,39424.34840951739,10.003249550509551,9.53397207362574,28.669466742982188,2043867462.1032536,,,,,,199056439769.2227,36824.36328125
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,39187.328125,63615990033,388311024484.1107,261480416111,,24972714825718.07,16192.244834710607,2393.3341786963333,10128266050.238785,35543.13247871226,66.73578915961053,1170.6794392861575,,,,,,0.0,0.0,36970.1154296875,41375.215625,32565.015234375,23.830600170510383,0.7516642751590367,0.0,0.0,,,,,,3890.7208014414064,6.438790504828108,,,,36695.306315104164,,36192.0855595883,,1.154045176473467,0.8090341477506855,0.34501102872278144,,,,-18.696687482580728,-18.696687482580728,0.0,36248.1689453125,,,35074.365234375,,0.0,0.0,0.0,,37967.447462735705,38303.08886184379,,,,,41276.49535023438,0.0,0.0,66.61285141464292,,,,,,79.13328929048328,,-20.866710709516727,,21.975291019402142,,,,,,,39406.843892992096,5.0138030111625875,4.892161277885165,35.12070034098866,2314240807.534952,,,,,,246628673006.64627,39371.04296875
2021-01-15,39156.70703125,39577.7109375,34659.58984375,36825.3671875,36825.3671875,67760757881,380229445466.9644,193719658230,,-1458853465144.1172,-9427.023863948221,1653.0681209721854,-894603695.5566878,35871.54963083777,61.41197576847733,1170.6794392861575,,,,,,0.0,0.0,37383.830794270834,41859.10286458333,32908.55872395833,23.942287214708582,0.4376056250886402,0.0,0.0,,,,,,3993.4608306722657,6.944735636165253,,,,37032.251627604164,,36289.51350234394,,1.0969233443916138,0.8344239908008957,0.2624993535907181,,,,-1.6757305434130287,-10.186209012996878,8.51047846958385,36248.1689453125,,,35074.365234375,,0.0,28.081817364528966,22.994409424587246,,37967.447462735705,38303.08886184379,,,,,41061.95743541719,0.0,0.0,58.1344277686106,,,,,,61.272096934443354,68.90567695774563,-38.727903065556646,,12.334027390678818,,,,,,,39352.882261410974,-6.027358971670127,-6.21664989723083,26.976490686402556,1576028666.2442312,,,,,,295094499284.71985,40797.609375
2021-01-16,36821.6484375,37864.3671875,35633.5546875,36178.140625,36178.140625,57706187875,350697726242.6986,136013470355,,-6586014057740.02,-1429.1497732199039,729.2973051639831,-5098402862.2463665,36187.35626677308,55.95897648953784,1150.1040890005588,,,,,,0.0,0.0,37465.762955729166,41827.54986979166,33103.97604166666,23.284121661777117,0.3523973825294126,0.0,0.0,,,,,,3817.1959976050393,7.575424544358268,,,,37382.7705078125,,36272.379213521795,,1.1116974397648804,0.9193079063564147,0.19238953340846576,,,,7.846334689084561,-4.175361112303065,12.021695801387626,36248.1689453125,,,35074.365234375,,0.0,26.948007447442713,22.06600478806717,,37967.447462735705,38303.08886184379,,,,,40851.710278896346,0.0,0.0,56.029943990388524,,,,,,56.3777576813197,65.59438130208211,-43.6222423186803,,13.156004843117922,,,,,,,39330.01689564439,-1.7575563040677422,-1.773184714361875,24.744807369659718,1184704184.6916788,,,,,,297413523948.33936,40254.546875
2021-01-17,36163.6484375,36722.3515625,34069.3203125,35791.27734375,35791.27734375,52359854336,366306479007.80304,83653616019,,-8538884200091.018,-6856.1743642744,-272.7598466585534,-1574117751.0270333,36382.613917916664,50.215542988870524,1137.805694612033,,,,,,0.0,0.0,37150.4412109375,41408.613671875,32892.26875,22.923940185581674,0.34040525839948466,0.0,0.0,,,,,,3700.7795228445357,8.254867358173952,,,,37532.674479166664,,36198.363541249215,,1.0342622414850011,0.9637471696022163,0.07051507188278483,,,,7.719329712151393,-1.2016884061894508,8.921018118340843,35992.9755859375,,,35074.365234375,,0.0,25.623027043117126,23.880023055454338,,37967.447462735705,38303.08886184379,,,,,40645.66806550592,0.0,0.0,54.75405086515807,,,,,,53.45229038328357,57.03404833301554,-46.54770961671643,,5.291906676831307,,,,,,,39200.10715821256,-1.0693288117263444,-1.0750872199338346,23.41087520332341,864940365.2028435,,,,,,287232116117.08923,38356.44140625
2021-01-18,35792.23828125,37299.28515625,34883.84375,36630.07421875,36630.07421875,49511702429,388383218440.8075,133165318448,,-1386149132453.0,3394.1298353844877,903.3614465264309,600446873.69642,36776.91692785304,56.03041172531018,1164.4710704194274,,,,,,0.0,0.0,36791.448502604166,40780.35494791667,32802.54205729167,21.683878225290083,0.479772114730366,0.0,0.0,,,,,,3572.2457111850817,8.669495203982164,,,,37516.483723958336,,36264.78056855703,,1.1092992454944297,0.9312528043607491,0.17804644113368062,,,,6.07813380473135,0.2542760359947094,5.823857768736641,35984.8955078125,,,35074.365234375,,0.0,25.54310353182951,22.781753922570385,,37967.447462735705,38303.08886184379,,,,,40443.7466963833,0.0,0.0,57.03838027816751,,,,,,54.65744712818328,54.829165064262185,-45.34255287181672,,-0.5276101069721059,,,,,,,39078.217913010725,2.3435790428599335,2.316538885922803,26.303106611198523,36546236.73747466,,,,,,322616613764.72864,35566.65625
2021-01-19,36642.234375,37755.890625,36069.8046875,36069.8046875,36069.8046875,57244195486,331139022954.8075,75921122962,0.2384855715337404,-5769867623777.513,2419.0296461283706,519.7505644583176,284776305.36600876,37030.12197115551,55.883726894065695,1164.4710704194274,35617.0740234375,42125.85351263724,29108.294534237757,36.54864790362451,0.534778460755487,0.0,0.0,36432.23938802083,40344.206770833334,32520.27200520833,21.475305655236678,0.4536761602214253,0.0,0.0,28201.9921875,41946.73828125,35074.365234375,38.59032913457572,0.5724232696868548,3383.6297338165737,9.206107828384766,,,,37241.380533854164,,36234.784279163636,,1.1086311456999292,0.9380774946684973,0.17055365103143183,,,5180.535351562503,5.228171321714388,1.0832585836146558,4.144912738099732,35258.0029296875,,,35074.365234375,,0.0,25.594490109584918,22.020432986219895,34.24896590583973,37967.447462735705,38303.08886184379,,,,,40245.863754643135,0.0,0.0,55.03953726013359,,,,,,48.43500844424528,52.18158198523738,-51.56499155575472,,-8.384939875406129,,,,,,,38934.919414304924,-1.5295342507474663,-1.5413522880193042,24.37125733582215,-950918360.2803708,,35345.172755532425,,,,295173084143.6333,33922.9609375
