Date,XOP_Open,XOP_High,XOP_Low,XOP_Close,XOP_Adj Close,XOP_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,XOP_Close_7d_ago
2020-12-31,58.970001220703125,59.29999923706055,58.34000015258789,58.5,55.60548782348633,4657200.0,-3104800.0,4657200.0,,,,,-2183282.1937545785,,,1000.0,,,,,,0.0,0.0,,59.67333221435547,57.753334045410156,,0.3888888888888889,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,58.81999969482422,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-46.945881481471034,,0.0,,,,,,,,
2021-01-01,58.970001220703125,59.29999923706055,58.34000015258789,58.5,55.60548782348633,4657200.0,-6209600.0,9314400.0,,,0.0,,-2186363.5923550692,,,1000.0,,,,,,0.0,0.0,,59.67333221435547,57.753334045410156,,0.3888888888888889,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,58.81999969482422,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-02,58.970001220703125,59.29999923706055,58.34000015258789,58.5,55.60548782348633,4657200.0,-9314400.0,13971600.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,59.67333221435547,57.753334045410156,,0.3888888888888889,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,58.81999969482422,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,,59.29999923706055,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-03,58.970001220703125,59.29999923706055,58.34000015258789,58.5,55.60548782348633,4657200.0,-12419200.0,18628800.0,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,,59.67333221435547,57.753334045410156,,0.3888888888888889,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,58.81999969482422,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,58.34000015258789,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2021-01-04,59.310001373291016,60.2400016784668,58.029998779296875,59.029998779296875,56.10926055908203,6754700.0,-13061057.340348225,25383500.0,,,10.306188187593937,,61196.28640199319,,,1000.0,,,,,,0.0,0.0,,60.00066630045573,57.58066660563151,,0.5988976679481121,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,59.135000228881836,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,,59.29999923706055,0.0,1.0,,,,,,,,,,,,,,,,,,,0.9059808193109031,0.9019014335418518,0.9059808193109031,,,,,,,,
2021-01-05,59.779998779296875,64.5199966430664,59.70000076293945,62.81999969482422,59.71173095703125,16053900.0,-8331474.491700822,41437400.0,,,89.32085280615703,,1091931.4542150723,,,1000.0,,,,,,0.0,0.0,,61.19499884711371,57.57166714138455,,1.4484824961350027,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,61.27499771118164,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,58.029998779296875,,1.0,0.0,,,,,,,,,,,,,,,,,,,6.420465854484458,6.2227720679331355,7.384614862947392,,,,,,,,
2021-01-06,63.459999084472656,65.80999755859375,63.0,65.26000213623047,62.031005859375,12951700.0,-449797.1969072772,54389100.0,,,49.79226365155506,,1533794.3810235665,,,1038.8411724492141,,,,,,0.0,0.0,,62.09571293422154,58.18714359828404,,1.8095773491632205,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,61.91999816894531,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,58.029998779296875,,0.0,0.0,,,,,,,,,,,,,,,,,,,3.8841172449214145,3.810583464676043,11.55555920723157,,,,,,,,
2021-01-07,65.95999908447266,67.37999725341797,65.26000213623047,66.52999877929688,63.238162994384766,7011300.0,939231.0787016363,61400400.0,,,57.90356410833313,,639503.0865181175,,,1059.0576106732826,,,,,,0.0,0.0,,62.89749813079834,58.94750118255615,,1.9196211278378472,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,62.70499801635742,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,58.34119873046875,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.9460566985813,1.9273631506314004,13.726493639823723,,,,,,,-3104800.0,55.60548782348633
2021-01-08,67.16999816894531,67.19999694824219,64.9800033569336,65.5,62.259132385253906,9402800.0,-4058669.3264822434,51997600.0,,,-5.430270874298706,,-9127.638787248346,,,1059.0576106732826,,,,,,0.0,0.0,,63.477034674750435,59.47259436713325,,1.50518054206015,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,62.70499801635742,,,62.70499801635742,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,58.8835266418457,,0.0,0.0,,,,,,,,,,,,,,,,,,,-1.5481719497902557,-1.5602812764428542,11.965811965811968,,,,,,,-6209600.0,55.60548782348633
2021-01-09,67.16999816894531,67.19999694824219,64.9800033569336,65.5,62.259132385253906,9402800.0,-9056569.731666123,61400400.0,,,0.0,,-145571.51209487836,,,1059.0576106732826,,,,,,0.0,0.0,61.916666412353514,63.94066390991211,59.892668914794925,6.537811593664119,1.3852119609754476,1.0,0.0,,,,,,2.1089977264404296,,,,,,,,,,,,,,,,,,62.70499801635742,,,62.70499801635742,,0.0,0.0,0.0,,110.55368383962212,106.94391718563968,,,,59.39331487854003,,0.0,0.0,,,,,,,,,,,,,,,,,,65.5,0.0,0.0,11.965811965811968,,,,,,,-9314400.0,55.60548782348633
