Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,volume_vpt_sma,trend_nvi_ema_255,trend_ema_20,trend_ema_50,trend_sma_50,trend_sma_200,volume_adi_7d_ago,AAPL_Close_7d_ago,sentiment
2018-01-02,42.540000915527344,43.07500076293945,42.31499862670898,43.06499862670898,40.888065338134766,102223600.0,99532938.15991569,102223600.0,,,,,-34180192.212065734,,,1000.0,,,,,,0.0,0.0,,43.57833480834961,42.05833053588867,,0.6622797771419967,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,42.69499969482422,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-33.471751465816034,,0.0,,,,,,,,,0.4381139489194499
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.88094329833984,118071600.0,6077616.075291127,-15848000.0,,,0.339320417884276,,-34236591.2957811,,,1000.0,,,,,,0.0,0.0,,43.72708384195964,42.31958262125652,,0.5242740111156851,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,42.97624969482422,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.0174148265723372,-0.0174163431293283,-0.0174148265723372,,,,,,,,,0.2725806451612903
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.07083511352539,89738400.0,39002875.89416154,73890400.0,,,-0.0464687060644395,,396270.1533827684,,,1004.6449693526288,,,,,,0.0,0.0,,43.67222256130643,42.502221849229606,,0.6455362272848105,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,42.97624969482422,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,,43.07500076293945,0.0,1.0,,,,,,,,,,,,,,,,,,,0.4644969352628925,0.4634214772755385,0.4470012173548365,,,,,,,,,0.3701149425287356
2018-01-05,43.36000061035156,43.84249877929688,43.26250076293945,43.75,41.53844451904297,94640000.0,103456274.4721954,168530400.0,,,0.2198583414682265,,1494338.4278889466,,,1004.6449693526288,,,,,,0.0,0.0,,43.80374972025554,42.63625017801921,,0.9539616776614904,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,43.07874870300293,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.02000045776367,,1.0,0.0,,,,,,,,,,,,,,,,,,,1.138531604115589,1.1320991109820877,1.5906220716008113,,,,,,,,,0.3421052631578947
2018-01-06,43.36000061035156,43.84249877929688,43.26250076293945,43.75,41.53844451904297,94640000.0,167909673.05022925,263170400.0,,,0.0,,1077506.3101350002,,,1004.6449693526288,,,,,,0.0,0.0,,43.882666015625,42.71666717529297,,0.886221142735253,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,43.07874870300293,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.02000045776367,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.5906220716008113,,,,,,,,,0.4711538461538461
2018-01-07,43.36000061035156,43.84249877929688,43.26250076293945,43.75,41.53844451904297,94640000.0,232363071.62826312,357810400.0,,,0.0,,0.0,,,1004.6449693526288,,,,,,0.0,0.0,,43.93527687920465,42.770278506808815,,0.8409638299977829,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,43.07874870300293,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.036450424194335,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.5906220716008113,,,,,,,,,0.4476190476190476
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.38415145874024,82271200.0,191228592.47911823,275539200.0,,,0.0714709659772726,,-305575.8734654018,,,1000.9134659342692,,,,,,0.0,0.0,,43.95559474400112,42.83702414376395,,0.6709253595220854,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,43.10874938964844,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.05257139129638,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.3714250837053567,-0.3721165794595027,1.213289018534569,,,,,,,,,0.3684210526315789
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.3794059753418,86336000.0,201170478.21348485,189203200.0,,,-0.0639029625983691,,-315481.74560034217,,,1000.9134659342692,,,,,,0.0,0.0,,43.9585410753886,42.8766671816508,,0.6524173290421758,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,43.10874938964844,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.08656854174804,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.0114736287700867,-0.0114742870412243,1.2016761814865884,,,,,,,99532938.15991569,40.888065338134766,0.3451536643026004
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.36991500854492,95839600.0,295534186.39569783,93363600.0,,,-0.0495946218401618,,-31900.95560663389,,,1000.9134659342692,,,,,,0.0,0.0,,43.93990693268952,42.90601885760272,,0.6446340566163552,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,43.10874938964844,,,43.10874938964844,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.11920580618164,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.0229498907254321,-0.0229525246158601,1.178450507390627,,,,,,,6077616.075291127,40.88094329833984,0.3310344827586207
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.60490036010742,74670800.0,338842247.73602986,168034400.0,,,0.1121593018359549,,402151.482749081,,,1006.598874549955,,,,,,0.0,0.0,43.45783335367839,43.94808298746745,42.967583719889326,2.256208356266645,0.8693693132891331,0.0,0.0,,,,,,0.496500015258789,,,,,,,,,,,,,,,,,,43.446250915527344,,,43.10874938964844,,0.0,0.0,0.0,,64.43680536557403,62.66878533581275,,,,43.15053758003789,,0.0,0.0,,,,,,,,,,,,,,,,,,43.81999969482422,0.568021992828216,0.5664148310559725,1.7531663582754264,,,,,,,39002875.89416154,41.07083511352539,0.4256410256410256
